N,M,Sharpe,Total,MaxDD,Calmar,Trades
26,1100,0.3717966615112795,3.121942280941453,-0.5080456307849825,0.13431263006679986,89
10,700,0.2868831806238554,3.1656129897599925,-0.6422643808038699,0.09917452721009491,154
10,900,0.2742704030621075,2.7625203636310522,-0.6419068736141914,0.09531573893352555,144
10,500,0.25195692167718614,2.9073354378981353,-0.6969043144495448,0.08419867444610155,154
10,1100,0.24138044075323267,1.9683164935829707,-0.6419068736141913,0.08078682170788659,146
14,700,0.22327504012089902,1.8282247876844453,-0.5893975907776524,0.07813472156788887,152
26,700,0.21600583605711735,1.5024614108262142,-0.5346435188006726,0.07595498891436123,105
14,500,0.19634412257025688,1.7031976822635504,-0.5998678608859812,0.07087112884059243,156
18,500,0.19633835392996174,1.6898785064309991,-0.5049879133028388,0.08381677746343454,141
14,1100,0.1732223957433403,1.038421587751147,-0.5625520341088908,0.05985732335106753,144
14,900,0.16690146718294543,1.089034284511186,-0.5541514465877516,0.06061763810348843,148
18,700,0.16241619351637168,1.1035562141538162,-0.5340804633019951,0.061322132010233545,141
26,900,0.15653459283539073,0.983167022343411,-0.6285915868554324,0.04971620732998474,89
18,1100,0.1555594001043792,0.8773890000068132,-0.5553399774419036,0.053565248872262994,135
26,500,0.1478465346227211,1.0772769419826926,-0.7258097097620575,0.042909013172209506,105
18,900,0.09800085430712731,0.5240275036421342,-0.5641681704514889,0.033838002024677925,143
22,700,0.09517801955405422,0.5285114777904123,-0.6064958348944203,0.030618981528667436,117
22,1100,0.07065184586294392,0.33764292139363494,-0.6298806352105266,0.021655451878935784,113
22,500,0.011885587243018211,0.06142924789249049,-0.6878396145234837,0.0036381015683916106,119
22,900,-0.01458225617336954,-0.06466427478647274,-0.6837965731068559,-0.0043841090768538,115
