Buy,Sell,Sharpe,Total,MaxDD,Calmar,Trades
0.9,-0.7,0.42662816817198634,3.425192956496794,-0.2967760680610232,0.2418561369946433,77
0.8,-0.7,0.413930158856957,3.3097444266217693,-0.2967760680610234,0.23740945408068964,83
0.8,-0.3,0.40541582742570614,2.464876258851261,-0.3222524025084005,0.1850305106943882,103
0.7,-0.3,0.4023452563499199,2.6701684219587456,-0.4008879312197843,0.1558365383590403,117
0.7,-0.7,0.3717966615112795,3.121942280941453,-0.5080456307849825,0.13431263006679986,89
0.9,-0.3,0.3627691156294588,1.9316970301145249,-0.36142742668615213,0.14223195317248025,93
0.8,-0.5,0.29513566493743904,1.6592149487968957,-0.33897226189595264,0.1375841126902696,97
0.9,-0.8,0.28621800586340085,1.905656929270139,-0.45728639289328576,0.11146062149533209,71
0.8,-0.6,0.2725138306377353,1.5170988547748796,-0.34915385456879455,0.12590851237730208,93
0.8,-0.4,0.2661881933474554,1.329849212598878,-0.3459284315533221,0.1162292463740912,101
0.8,-0.8,0.2654061051837617,1.7505366741964283,-0.44638664765010494,0.10816979136809375,75
0.9,-0.5,0.2615694032415101,1.3258949615154543,-0.35131394148711004,0.11421309650204246,91
0.7,-0.5,0.2598524837213384,1.5640089687054597,-0.5158995485026467,0.08695539370046598,107
0.9,-0.6,0.2542561974042752,1.3111445123995136,-0.32683079045517716,0.12182539741724505,87
0.9,-0.4,0.2526183695695068,1.169020961738589,-0.3529255704405738,0.10411572931919205,93
0.6,-0.7,0.2519072622150548,1.743628019814373,-0.5115733587144515,0.09414620004282831,95
0.7,-0.6,0.24242967668718032,1.4469785519378076,-0.47559591878706187,0.08954596421189723,103
0.6,-0.3,0.22151259936807935,1.1810789099779675,-0.5176356984047663,0.07150396749885729,137
0.3,-0.3,0.22013119026615788,1.2574412185869415,-0.5973029210665339,0.06475362846419326,159
0.5,-0.3,0.21251932898812734,1.1414399227808074,-0.5573793171789719,0.06481570058102665,145
0.7,-0.4,0.20781455394861148,1.0658733636768112,-0.5209246436927836,0.0660240326142064,113
0.4,-0.3,0.2016129189117767,1.093979011248007,-0.600372773348457,0.058372404866550376,149
0.7,-0.8,0.19729176451099295,1.2696445451246978,-0.5860472384026679,0.06644268008137187,79
0.6,-0.8,0.1948021535725276,1.2855326189100635,-0.580851602885246,0.06761861757484995,81
0.9,-0.9,0.19320744509142188,1.2263250673484678,-0.541680685868487,0.07016282743080517,65
0.8,-0.9,0.19064587257740295,1.2127084321063526,-0.541680685868487,0.06961499054083436,69
0.5,-0.7,0.184890512520604,1.1381047503750463,-0.584068065968331,0.061725110802459814,99
0.6,-0.5,0.1756015689025297,0.939983274962056,-0.537183183394512,0.05839142244789175,121
0.7,-0.9,0.16793981195571703,1.0798040056659475,-0.6493275767171238,0.05346698932013151,73
0.6,-0.9,0.16015573815920273,1.0382519751424852,-0.6554891163331138,0.0514803799849342,75
0.3,-0.5,0.15898091912326262,0.8700975208911017,-0.597959923931753,0.04950973256539739,137
0.3,-0.7,0.1587895786078646,0.9477212467960736,-0.6210728978788218,0.05081248131129258,103
0.5,-0.5,0.1559800542320343,0.8204783718131599,-0.5772157020703015,0.04905486627946221,129
0.4,-0.7,0.15565985298994423,0.9171865136325896,-0.6208141931389352,0.04961041936036512,99
0.5,-0.8,0.15333697553598746,0.9417959431689145,-0.6308902808422536,0.04978961435284514,83
0.6,-0.6,0.14954665001447165,0.7835477527346977,-0.48994410605233096,0.055788966956303726,113
0.3,-0.4,0.1319828722207568,0.6685453994053254,-0.6053250185089026,0.039891140947602835,151
0.4,-0.5,0.1314197208979805,0.6738314128533474,-0.6043613214201637,0.040204580487340436,131
0.4,-0.8,0.12578663430744072,0.7355980715271444,-0.673032618514463,0.038674875594270415,83
0.6,-0.4,0.12195981166171685,0.57069741608869,-0.5366904647522794,0.03962548683966352,131
0.3,-0.8,0.12188777009880804,0.7099786517355884,-0.680482238498715,0.037206802980362434,87
0.5,-0.6,0.11993107623426094,0.606158215432953,-0.5591937111957161,0.03993214567775929,119
0.5,-0.9,0.11328096267181093,0.6726917220258402,-0.6966174357520999,0.0348334349840826,77
0.3,-0.6,0.1093276761393141,0.5560917685044635,-0.5860452137583447,0.035529761839133575,125
0.4,-0.9,0.10819824708848595,0.6394021032142918,-0.7053112362097946,0.03304412022742434,77
0.3,-0.9,0.10453982010473131,0.6152026463363152,-0.7120254206458447,0.03173677665590464,81
0.5,-0.4,0.10231898816874607,0.4707774005205172,-0.5795635873527099,0.031304408844978586,139
0.4,-0.6,0.10111096405603591,0.5018642164050418,-0.5926363206820071,0.0322894211717526,119
0.4,-0.4,0.08863740992376111,0.407104589228936,-0.6090566530114727,0.02634399392639813,143
